date,ice_thickness,snow_height,place,station_id
2010-11-10,,,13,6492
2010-11-15,,,13,6492
2010-11-20,,,13,6492
2010-11-25,,,13,6492
2010-11-30,,,13,6492
2010-12-05,,,13,6492
2010-12-10,40.0,28.0,13,6492
2010-12-15,,,13,6492
2010-12-20,45.0,29.0,13,6492
2010-12-25,,,13,6492
2010-12-31,60.0,38.0,13,6492
2011-01-05,,,13,6492
2011-01-10,58.0,38.0,13,6492
2011-01-15,,,13,6492
2011-01-20,64.0,36.0,13,6492
2011-01-25,,,13,6492
2011-01-31,70.0,40.0,13,6492
2011-02-05,,,13,6492
2011-02-10,75.0,40.0,13,6492
2011-02-15,,,13,6492
2011-02-20,85.0,38.0,13,6492
2011-02-25,,,13,6492
2011-02-28,87.0,42.0,13,6492
2011-03-05,,,13,6492
2011-03-10,87.0,40.0,13,6492
2011-03-15,,,13,6492
2011-03-20,87.0,40.0,13,6492
2011-03-25,,,13,6492
2011-03-31,70.0,18.0,13,6492
2011-04-05,,,13,6492
2011-04-10,,,13,6492
2011-04-15,,,13,6492
2011-11-15,,,13,6492
2011-11-15,,,14,6492
2011-11-20,,,13,6492
2011-11-20,,,14,6492
2011-11-25,,,13,6492
2011-11-25,,,14,6492
2011-11-30,21.0,10.0,13,6492
2011-11-30,19.0,8.0,14,6492
2011-12-05,,,13,6492
2011-12-05,,,14,6492
2011-12-10,30.0,15.0,13,6492
2011-12-10,28.0,14.0,14,6492
2011-12-15,,,13,6492
2011-12-15,,,14,6492
2011-12-20,38.0,16.0,13,6492
2011-12-20,35.0,15.0,14,6492
2011-12-25,,,13,6492
2011-12-25,,,14,6492
2011-12-31,52.0,17.0,13,6492
2011-12-31,50.0,16.0,14,6492
2012-01-05,,,13,6492
2012-01-05,,,14,6492
2012-01-10,57.0,17.0,13,6492
2012-01-10,54.0,15.0,14,6492
2012-01-15,,,13,6492
2012-01-15,,,14,6492
2012-01-20,60.0,18.0,13,6492
2012-01-20,54.0,16.0,14,6492
2012-01-25,,,13,6492
2012-01-25,,,14,6492
2012-01-31,78.0,23.0,13,6492
2012-01-31,69.0,21.0,14,6492
2012-02-05,,,13,6492
2012-02-05,,,14,6492
2012-02-10,95.0,22.0,13,6492
2012-02-10,87.0,20.0,14,6492
2012-02-15,,,13,6492
2012-02-15,,,14,6492
2012-02-20,94.0,24.0,13,6492
2012-02-20,87.0,19.0,14,6492
2012-02-25,,,13,6492
2012-02-25,,,14,6492
2012-02-29,95.0,22.0,13,6492
2012-02-29,86.0,21.0,14,6492
2012-03-05,,,13,6492
2012-03-05,,,14,6492
2012-03-10,103.0,22.0,13,6492
2012-03-10,90.0,20.0,14,6492
2012-03-15,,,13,6492
2012-03-15,,,14,6492
2012-03-20,108.0,25.0,13,6492
2012-03-20,95.0,20.0,14,6492
2012-03-25,,,13,6492
2012-03-25,,,14,6492
2012-03-31,105.0,19.0,13,6492
2012-03-31,91.0,17.0,14,6492
2012-04-05,,,13,6492
2012-04-05,,,14,6492
2012-04-10,125.0,10.0,13,6492
2012-04-10,102.0,8.0,14,6492
2012-04-15,,,13,6492
2012-04-15,,,14,6492
2012-04-20,,,13,6492
2012-04-20,,,14,6492
2012-11-15,,,13,6492
2012-11-15,,,14,6492
2012-11-20,,,13,6492
2012-11-20,,,14,6492
2012-11-25,,,13,6492
2012-11-25,,,14,6492
2012-11-30,30.0,10.0,13,6492
2012-11-30,30.0,10.0,14,6492
2012-12-05,,,13,6492
2012-12-05,,,14,6492
2012-12-10,50.0,16.0,13,6492
2012-12-10,50.0,16.0,14,6492
2012-12-15,,,13,6492
2012-12-15,,,14,6492
2012-12-20,58.0,13.0,13,6492
2012-12-20,58.0,13.0,14,6492
2012-12-25,,,13,6492
2012-12-25,,,14,6492
2012-12-31,57.0,16.0,13,6492
2012-12-31,57.0,16.0,14,6492
2013-01-05,,,13,6492
2013-01-05,,,14,6492
2013-01-10,90.0,20.0,13,6492
2013-01-10,79.0,16.0,14,6492
2013-01-15,,,13,6492
2013-01-15,,,14,6492
2013-01-20,100.0,16.0,13,6492
2013-01-20,85.0,17.0,14,6492
2013-01-25,,,13,6492
2013-01-25,,,14,6492
2013-01-31,100.0,20.0,13,6492
2013-01-31,100.0,18.0,14,6492
2013-02-05,,,13,6492
2013-02-05,,,14,6492
2013-02-10,115.0,32.0,13,6492
2013-02-10,116.0,35.0,14,6492
2013-02-15,,,13,6492
2013-02-15,,,14,6492
2013-02-20,115.0,32.0,13,6492
2013-02-20,115.0,30.0,14,6492
2013-02-25,,,13,6492
2013-02-25,,,14,6492
2013-02-28,115.0,34.0,13,6492
2013-02-28,116.0,32.0,14,6492
2013-03-05,,,13,6492
2013-03-05,,,14,6492
2013-03-10,117.0,30.0,13,6492
